C_max,model,seed,arm,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed
4,ppo_c4_s3,3,ppo,2.2061188060303762,7.802798022728389,0.0,7.199999999999999,52.0,1.04,52,0,-0.6932299238066298,0,0.26,2,10002
4,ppo_c4_s3,3,ppo,2.1120719767808787,7.872039317932045,0.0,5.6000000000000005,53.0,1.06,53,0,-0.6406797985536965,0,0.265,3,10003
4,ppo_c4_s3,3,ppo,2.2149022125096365,6.747469271500504,0.0,6.0,55.0,1.1,55,0,-0.6245169311737945,0,0.275,4,10004
4,ppo_c4_s3,3,ppo,2.220827061674514,8.659326909104713,0.0,6.4,53.0,1.06,53,0,-0.7071590313578235,0,0.265,5,10005
4,ppo_c4_s3,3,ppo,2.1906800668674493,7.865415696987972,0.0,7.199999999999999,51.0,1.02,51,0,-0.6989318396229796,0,0.255,6,10006
4,ppo_c4_s3,3,ppo,2.2563093285696376,7.421045639402881,0.0,6.4,51.0,1.02,51,0,-0.6347895721388362,0,0.255,7,10007
4,ppo_c4_s3,3,ppo,2.3148563078586606,8.149792476029424,0.0,7.199999999999999,48.0,0.96,48,0,-0.6754403072268579,0,0.24,8,10008
4,ppo_c4_s3,3,ppo,2.228599804265873,7.540336027074164,0.0,5.800000000000001,51.0,1.02,51,0,-0.6646784118072351,0,0.255,9,10009
4,ppo_c4_s4,4,ppo,2.142795932998985,7.140007823905005,0.0,4.8,55.0,1.1,55,0,-0.6535007766653829,0,0.275,0,10000
4,ppo_c4_s4,4,ppo,2.2232759367551393,8.70508019085569,0.0,7.6,52.0,1.04,52,0,-0.7172451623792644,0,0.26,1,10001
4,ppo_c4_s4,4,ppo,2.1211187166528624,7.5058660280036555,0.0,6.4,56.0,1.12,56,0,-0.6769714975012826,0,0.28,2,10002
4,ppo_c4_s4,4,ppo,2.1763359363963626,8.273174316191435,0.0,6.6000000000000005,49.0,0.98,49,0,-0.6613803992633934,0,0.245,3,10003
4,ppo_c4_s4,4,ppo,2.1943147127944234,8.159493341878669,0.0,5.800000000000001,57.0,1.14,57,0,-0.7303840271367061,0,0.285,4,10004
4,ppo_c4_s4,4,ppo,2.2574275912841837,7.7995053863309245,0.0,7.6,51.0,1.02,51,0,-0.6471182033743413,0,0.255,5,10005
4,ppo_c4_s4,4,ppo,2.2301724278674593,7.7070741322673895,0.0,8.0,49.0,0.98,49,0,-0.7149223489220925,0,0.245,6,10006
4,ppo_c4_s4,4,ppo,2.288664207138129,7.823964460631318,0.0,9.4,50.0,1.0,50,0,-0.7347347708291097,0,0.25,7,10007
4,ppo_c4_s4,4,ppo,2.2747247745548616,7.363361478177297,0.0,7.6,49.0,0.98,49,0,-0.6708183771731762,0,0.245,8,10008
4,ppo_c4_s4,4,ppo,2.2050318235054847,6.928244157236985,0.0,6.0,52.0,1.04,52,0,-0.6010477724417534,0,0.26,9,10009
