model,wall_sec,start,end
ppo_loyo2021_c2_s0,320.4,2026-09-14 06:05:32.684561253,2026-09-14 06:10:53.076709509
ppo_loyo2021_c2_s1,318.8,2026-09-14 06:05:34.718507767,2026-09-14 06:10:53.548092127
ppo_loyo2021_c2_s2,318.9,2026-09-14 06:05:38.756928444,2026-09-14 06:10:57.670782328
ppo_loyo2021_c2_s3,260.3,2026-09-14 06:10:55.405152559,2026-09-14 06:15:15.678985834
ppo_loyo2021_c2_s4,261.3,2026-09-14 06:10:55.426454306,2026-09-14 06:15:16.704907179
ppo_loyo2022_c2_s0,258.9,2026-09-14 06:10:59.517505646,2026-09-14 06:15:18.378113031
ppo_loyo2022_c2_s1,235.2,2026-09-14 06:15:18.057422876,2026-09-14 06:19:13.209041357
ppo_loyo2022_c2_s2,234.1,2026-09-14 06:15:18.077166796,2026-09-14 06:19:12.223240852
ppo_loyo2022_c2_s3,232.5,2026-09-14 06:15:20.104279280,2026-09-14 06:19:12.644994974
ppo_loyo2022_c2_s4,141.0,2026-09-14 06:19:14.627386570,2026-09-14 06:21:35.590835810
