C_max,arm,seed,ret,bi,cost,w10
8,threshold,-1,-3.0005890740699304,2.91300463235698,144.0,0.2
inf,a2c,0,-0.7699570538007964,1.9982717427662382,65.7,0.0
inf,a2c,1,-0.8334559672733194,2.3241676592537326,50.5,0.02
inf,a2c,2,-0.89756342424962,2.3059397936168575,52.3,0.0
inf,calendar,-1,-0.8858282017350048,2.226476275173974,56.7,0.04
inf,mpc1,-1,-1.1548991209968578,2.9606569715142514,22.0,0.02
inf,none,-1,-4.236516397196834,3.54689036127006,0.0,1.1800000000000002
inf,ppo,0,-0.75720318506607,2.027309091298579,64.6,0.0
inf,ppo,1,-0.689609564715924,2.1577867583363566,56.7,0.0
inf,ppo,2,-0.6720764709076424,2.176064607437662,55.7,0.0
inf,ppo,3,-0.6565148551567302,2.2414210764558358,51.9,0.0
inf,ppo,4,-0.7134278645455108,2.148516359557952,57.9,0.0
inf,ppo,5,-0.6646596251238817,2.2368316299518076,51.9,0.0
inf,ppo,6,-0.7056928026406433,2.1380017915492635,57.3,0.0
inf,ppo,7,-0.6681246056429961,2.164977309246261,53.0,0.0
inf,ppo,8,-0.678953000632883,2.1975439043732896,53.4,0.0
inf,ppo,9,-0.7011684681079903,2.1749067369259594,56.4,0.0
inf,threshold,-1,-3.0168572622230707,2.587844556178894,219.6,0.1
