fold_year,C_max,arm,seed,rep,episode_return,mean_bi,total_cost,weeks_bi_ge10_pct,eval_seed
2016,2,ppo,9,2,-0.8145161842593486,2.4912375479339044,47.0,0.0,10002.0
2016,2,ppo,9,3,-0.8581376012458949,2.4343279131274067,46.0,0.0,10003.0
2016,2,ppo,9,4,-0.8371248160139609,2.5598303866448364,46.0,0.0,10004.0
2016,2,ppo,9,5,-0.8112724059729108,2.5417941527404895,45.0,0.0,10005.0
2016,2,ppo,9,6,-0.6461764555065258,2.4189953219189295,48.0,0.0,10006.0
2016,2,ppo,9,7,-0.8557108713358592,2.5074438647595594,47.0,0.19607843137254902,10007.0
2016,2,ppo,9,8,-0.854449032601907,2.572707637092376,44.0,0.0,10008.0
2016,2,ppo,9,9,-0.765179779733523,2.466590008651269,46.0,0.0,10009.0
2017,2,none,-1,0,-4.560796031773963,3.7290679032697027,0.0,0.9803921568627451,
2017,2,none,-1,1,-4.804363952402863,3.8069156036811136,0.0,1.5686274509803921,
2017,2,none,-1,2,-4.888902764186941,3.7885608741885686,0.0,0.7843137254901961,
2017,2,none,-1,3,-4.779384874095243,3.706455223449565,0.0,1.9607843137254901,
2017,2,none,-1,4,-4.512087425255603,3.8157448752438654,0.0,0.9803921568627451,
2017,2,none,-1,5,-5.043555972561286,3.7956302530596653,0.0,1.7647058823529411,
2017,2,none,-1,6,-4.343673397540786,3.6806578824350247,0.0,0.7843137254901961,
2017,2,none,-1,7,-5.064400646337756,3.80976798739719,0.0,1.9607843137254901,
2017,2,none,-1,8,-4.741719834087048,3.781490891136757,0.0,1.3725490196078431,
2017,2,none,-1,9,-4.736222140997564,3.7523751985398146,0.0,0.7843137254901961,
2017,2,threshold,-1,0,-4.560796031773963,3.7290679032697027,0.0,0.9803921568627451,
2017,2,threshold,-1,1,-4.804363952402863,3.8069156036811136,0.0,1.5686274509803921,
2017,2,threshold,-1,2,-4.888902764186941,3.7885608741885686,0.0,0.7843137254901961,
2017,2,threshold,-1,3,-4.779384874095243,3.706455223449565,0.0,1.9607843137254901,
2017,2,threshold,-1,4,-4.512087425255603,3.8157448752438654,0.0,0.9803921568627451,
2017,2,threshold,-1,5,-5.043555972561286,3.7956302530596653,0.0,1.7647058823529411,
2017,2,threshold,-1,6,-4.343673397540786,3.6806578824350247,0.0,0.7843137254901961,
2017,2,threshold,-1,7,-5.064400646337756,3.80976798739719,0.0,1.9607843137254901,
2017,2,threshold,-1,8,-4.741719834087048,3.781490891136757,0.0,1.3725490196078431,
2017,2,threshold,-1,9,-4.736222140997564,3.7523751985398146,0.0,0.7843137254901961,
2017,2,calendar,-1,0,-1.795314800377856,3.1196370448823965,24.0,0.19607843137254902,
2017,2,calendar,-1,1,-1.747419768784147,3.1946732269157336,24.0,0.0,
2017,2,calendar,-1,2,-1.7650880279183614,3.1773675196301467,24.0,0.0,
2017,2,calendar,-1,3,-2.080332416000855,3.1163529918439417,24.0,0.5882352941176472,
2017,2,calendar,-1,4,-1.953060710150917,3.2306868160629576,24.0,0.39215686274509803,
2017,2,calendar,-1,5,-2.206721837078876,3.2074217839194645,24.0,0.5882352941176472,
2017,2,calendar,-1,6,-1.7400744338755332,3.0965132627910505,24.0,0.19607843137254902,
2017,2,calendar,-1,7,-1.7829074152360032,3.197029035715474,24.0,0.19607843137254902,
2017,2,calendar,-1,8,-1.8497333014285933,3.1843952648703358,24.0,0.19607843137254902,
2017,2,calendar,-1,9,-1.9050506335003996,3.1626419304137414,24.0,0.0,
2017,2,mpc1,-1,0,-1.5340020823480618,3.215100522301526,17.0,0.0,
2017,2,mpc1,-1,1,-1.6415100424190663,3.2947136516313984,17.0,0.19607843137254902,
2017,2,mpc1,-1,2,-1.8154816438266757,3.277016042316151,17.0,0.0,
2017,2,mpc1,-1,3,-1.5671714730881665,3.1972199535240704,17.0,0.0,
2017,2,mpc1,-1,4,-1.625846433085972,3.3122712564014503,17.0,0.0,
2017,2,mpc1,-1,5,-1.8177583790750724,3.2836196351688245,17.0,0.39215686274509803,
2017,2,mpc1,-1,6,-1.5529608620904305,3.182194390812819,17.0,0.19607843137254902,
2017,2,mpc1,-1,7,-1.6113715042466823,3.2898631676663728,17.0,0.19607843137254902,
2017,2,mpc1,-1,8,-1.6239604519055482,3.272465645955711,17.0,0.0,
2017,2,mpc1,-1,9,-1.5053081586124477,3.2379909395967426,17.0,0.0,
2017,2,ppo,0,0,-0.6559691147629358,2.321081837741009,52.0,0.0,10000.0
2017,2,ppo,0,1,-0.6282129085173386,2.399989466871114,52.0,0.0,10001.0
2017,2,ppo,0,2,-0.6417551226129863,2.394721761946285,51.0,0.0,10002.0
2017,2,ppo,0,3,-0.6504555443292733,2.32322439843078,51.0,0.0,10003.0
2017,2,ppo,0,4,-0.706809490103223,2.445488597014146,51.0,0.0,10004.0
2017,2,ppo,0,5,-0.7009739773070606,2.392754295498621,50.0,0.0,10005.0
2017,2,ppo,0,6,-0.6290168371667471,2.3113581576708886,52.0,0.0,10006.0
2017,2,ppo,0,7,-0.6588057685904718,2.395452963369963,51.0,0.0,10007.0
2017,2,ppo,0,8,-0.5922543207059692,2.4032183681265393,51.0,0.0,10008.0
2017,2,ppo,0,9,-0.6787539769019477,2.3879656334954404,50.0,0.0,10009.0
2017,2,ppo,1,0,-0.6089624602077277,2.3197870173761532,54.0,0.0,10000.0
2017,2,ppo,1,1,-0.5987165817445589,2.4016758038833252,52.0,0.0,10001.0
2017,2,ppo,1,2,-0.618840961510966,2.3275965435291894,54.0,0.0,10002.0
2017,2,ppo,1,3,-0.6147438331110949,2.3108420655067374,52.0,0.0,10003.0
2017,2,ppo,1,4,-0.5784892327623,2.4038455677257624,53.0,0.0,10004.0
2017,2,ppo,1,5,-0.7028587638076762,2.384189518364105,54.0,0.0,10005.0
2017,2,ppo,1,6,-0.6422563791187386,2.295874809830585,53.0,0.0,10006.0
2017,2,ppo,1,7,-0.6477503027065818,2.382594249207342,53.0,0.0,10007.0
2017,2,ppo,1,8,-0.6594083520536285,2.3235201586215806,55.0,0.0,10008.0
2017,2,ppo,1,9,-0.6419587173586754,2.3182121866931897,54.0,0.0,10009.0
2017,2,ppo,2,0,-0.6713902104739753,2.3948770213519293,49.0,0.0,10000.0
2017,2,ppo,2,1,-0.6661350142985595,2.3635928499053067,53.0,0.0,10001.0
2017,2,ppo,2,2,-0.6546991683883371,2.4394283263079957,49.0,0.0,10002.0
2017,2,ppo,2,3,-0.7001385741111338,2.2932412662701607,54.0,0.0,10003.0
2017,2,ppo,2,4,-0.6473997268249077,2.3964101537629845,53.0,0.0,10004.0
2017,2,ppo,2,5,-0.7621736937315762,2.3944381417990397,52.0,0.0,10005.0
2017,2,ppo,2,6,-0.6356701048590819,2.302947123904725,53.0,0.0,10006.0
2017,2,ppo,2,7,-0.706927488511712,2.3957005201080968,52.0,0.0,10007.0
