arm,label,seed,model,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed
md,C=inf  MultiDiscrete (status quo),7,ppo_cinf_s7,2.1659979343984435,8.659326909104713,0.0,5.6000000000000005,54.0,1.08,54,0,-0.7310277119442747,0,,5,10005
md,C=inf  MultiDiscrete (status quo),7,ppo_cinf_s7,2.152862494886391,7.449568160421151,0.0,8.200000000000001,52.0,1.04,52,0,-0.6874451161587953,0,,6,10006
md,C=inf  MultiDiscrete (status quo),7,ppo_cinf_s7,2.1103630145227807,7.111119192575464,0.0,5.2,56.0,1.12,56,0,-0.63011406237987,0,,7,10007
md,C=inf  MultiDiscrete (status quo),7,ppo_cinf_s7,2.2180692090813774,7.520537283936195,0.0,6.2,52.0,1.04,52,0,-0.6656985268865521,0,,8,10008
md,C=inf  MultiDiscrete (status quo),7,ppo_cinf_s7,2.1149831230832485,7.31685934355127,0.0,5.6000000000000005,56.0,1.12,56,0,-0.6369720947980351,0,,9,10009
md,C=inf  MultiDiscrete (status quo),8,ppo_cinf_s8,2.254312997411872,7.333086650925853,0.0,8.0,50.0,1.0,50,0,-0.6667775986054486,0,,0,10000
md,C=inf  MultiDiscrete (status quo),8,ppo_cinf_s8,2.2348833201009075,8.70508019085569,0.0,7.000000000000001,52.0,1.04,52,0,-0.7375683040379862,0,,1,10001
md,C=inf  MultiDiscrete (status quo),8,ppo_cinf_s8,2.115334122125417,7.8523613871028,0.0,4.3999999999999995,57.0,1.14,57,0,-0.6831073248209588,0,,2,10002
md,C=inf  MultiDiscrete (status quo),8,ppo_cinf_s8,2.1088556950090838,7.8934083356644775,0.0,5.4,54.0,1.08,54,0,-0.6183853177087311,0,,3,10003
md,C=inf  MultiDiscrete (status quo),8,ppo_cinf_s8,2.310730303449305,8.256706390970342,0.0,6.6000000000000005,51.0,1.02,51,0,-0.6528875989645795,0,,4,10004
md,C=inf  MultiDiscrete (status quo),8,ppo_cinf_s8,2.233178219973074,8.659326909104713,0.0,5.4,55.0,1.1,55,0,-0.7456816262938959,0,,5,10005
md,C=inf  MultiDiscrete (status quo),8,ppo_cinf_s8,2.1978209353527896,7.723817876480344,0.0,6.800000000000001,51.0,1.02,51,0,-0.7098597616032175,0,,6,10006
md,C=inf  MultiDiscrete (status quo),8,ppo_cinf_s8,2.140125933716117,7.704103637026934,0.0,6.4,57.0,1.14,57,0,-0.669056713607855,0,,7,10007
md,C=inf  MultiDiscrete (status quo),8,ppo_cinf_s8,2.204821337156969,7.503474766525934,0.0,5.6000000000000005,53.0,1.06,53,0,-0.6402018943424951,0,,8,10008
md,C=inf  MultiDiscrete (status quo),8,ppo_cinf_s8,2.1753761794373587,7.654952209815716,0.0,6.4,54.0,1.08,54,0,-0.6660038663436619,0,,9,10009
md,C=inf  MultiDiscrete (status quo),9,ppo_cinf_s9,2.143130412412464,7.280857684442738,0.0,4.6,58.0,1.16,58,0,-0.6678556703628518,0,,0,10000
md,C=inf  MultiDiscrete (status quo),9,ppo_cinf_s9,2.2405334027544397,7.811251433624186,0.0,7.199999999999999,53.0,1.06,53,0,-0.7201726741088359,0,,1,10001
md,C=inf  MultiDiscrete (status quo),9,ppo_cinf_s9,2.1601156261068364,7.553792621518082,0.0,5.6000000000000005,57.0,1.14,57,0,-0.6615229585102702,0,,2,10002
md,C=inf  MultiDiscrete (status quo),9,ppo_cinf_s9,2.1740493673228882,8.147350175258346,0.0,6.4,53.0,1.06,53,0,-0.7160748605596263,0,,3,10003
md,C=inf  MultiDiscrete (status quo),9,ppo_cinf_s9,2.2494192009461647,7.5311242109641565,0.0,6.6000000000000005,57.0,1.14,57,0,-0.6634256240353928,0,,4,10004
md,C=inf  MultiDiscrete (status quo),9,ppo_cinf_s9,2.1744700536745105,8.659326909104713,0.0,6.0,58.0,1.16,58,0,-0.7848206235112656,0,,5,10005
md,C=inf  MultiDiscrete (status quo),9,ppo_cinf_s9,2.0950947242048312,7.695239292296266,0.0,6.2,57.0,1.14,57,0,-0.6615179054240613,0,,6,10006
md,C=inf  MultiDiscrete (status quo),9,ppo_cinf_s9,2.1346865166385958,7.704103637026934,0.0,5.800000000000001,59.0,1.18,59,0,-0.7349849613975119,0,,7,10007
md,C=inf  MultiDiscrete (status quo),9,ppo_cinf_s9,2.1757568282014246,7.363361478177297,0.0,5.0,57.0,1.14,57,0,-0.6839965235832826,0,,8,10008
md,C=inf  MultiDiscrete (status quo),9,ppo_cinf_s9,2.201811236997438,7.39307637611964,0.0,6.0,55.0,1.1,55,0,-0.717312879586804,0,,9,10009
nest56,C=inf  Discrete(56) nested,0,ppo_nest56_s0,2.2585478794155542,7.885136519214123,0.0,7.199999999999999,51.0,1.02,51,0,-0.6198744143594742,0,,0,10000
nest56,C=inf  Discrete(56) nested,0,ppo_nest56_s0,2.295399038234503,8.70508019085569,0.0,7.199999999999999,49.0,0.98,49,0,-0.6925246179147383,0,,1,10001
nest56,C=inf  Discrete(56) nested,0,ppo_nest56_s0,2.2733292234481706,8.585777600554403,0.0,8.200000000000001,51.0,1.02,51,0,-0.7281322230451709,0,,2,10002
nest56,C=inf  Discrete(56) nested,0,ppo_nest56_s0,2.2323508610055263,7.9549121784894385,0.0,7.000000000000001,50.0,1.0,50,0,-0.6720839946567259,0,,3,10003
nest56,C=inf  Discrete(56) nested,0,ppo_nest56_s0,2.344752443228551,7.47419888044895,0.0,7.6,51.0,1.02,51,0,-0.6513676375218036,0,,4,10004
nest56,C=inf  Discrete(56) nested,0,ppo_nest56_s0,2.3098448231790654,8.659326909104713,0.0,6.4,51.0,1.02,51,0,-0.7119955792109798,0,,5,10005
nest56,C=inf  Discrete(56) nested,0,ppo_nest56_s0,2.269458406306539,7.266553698390535,0.0,8.0,49.0,0.98,49,0,-0.6671808281663871,0,,6,10006
nest56,C=inf  Discrete(56) nested,0,ppo_nest56_s0,2.2885807010048684,7.704103637026934,0.0,7.3999999999999995,51.0,1.02,51,0,-0.6828763767890392,0,,7,10007
nest56,C=inf  Discrete(56) nested,0,ppo_nest56_s0,2.3657380654478755,7.363361478177297,0.0,8.200000000000001,47.0,0.94,47,0,-0.6375272581701932,0,,8,10008
nest56,C=inf  Discrete(56) nested,0,ppo_nest56_s0,2.3924572334456253,7.440477166673594,0.0,8.799999999999999,44.0,0.88,44,0,-0.6328224347288048,0,,9,10009
nest56,C=inf  Discrete(56) nested,1,ppo_nest56_s1,2.2996392319417875,7.457870370139448,0.0,6.4,49.0,0.98,49,0,-0.5887072888233482,0,,0,10000
nest56,C=inf  Discrete(56) nested,1,ppo_nest56_s1,2.3411157555447804,8.70508019085569,0.0,8.200000000000001,48.0,0.96,48,0,-0.7446131760138988,0,,1,10001
nest56,C=inf  Discrete(56) nested,1,ppo_nest56_s1,2.2465498166610542,9.392186383195064,0.0,6.0,53.0,1.06,53,0,-0.6776868741842643,0,,2,10002
nest56,C=inf  Discrete(56) nested,1,ppo_nest56_s1,2.24117321142499,8.19634361290613,0.0,7.199999999999999,48.0,0.96,48,0,-0.6297006109548033,0,,3,10003
nest56,C=inf  Discrete(56) nested,1,ppo_nest56_s1,2.3370308160668416,8.18717473662043,0.0,6.800000000000001,51.0,1.02,51,0,-0.666484294782268,0,,4,10004
nest56,C=inf  Discrete(56) nested,1,ppo_nest56_s1,2.3172785445238104,8.659326909104713,0.0,7.3999999999999995,51.0,1.02,51,0,-0.7265815908926128,0,,5,10005
nest56,C=inf  Discrete(56) nested,1,ppo_nest56_s1,2.2841694560426795,7.589154363986541,0.0,8.0,48.0,0.96,48,0,-0.6424966994592849,0,,6,10006
nest56,C=inf  Discrete(56) nested,1,ppo_nest56_s1,2.3563743005913333,7.111119192575464,0.0,8.0,47.0,0.94,47,0,-0.5979095818668048,0,,7,10007
nest56,C=inf  Discrete(56) nested,1,ppo_nest56_s1,2.313184351073932,7.3926067668126985,0.0,6.4,51.0,1.02,51,0,-0.6676283266198798,0,,8,10008
nest56,C=inf  Discrete(56) nested,1,ppo_nest56_s1,2.3384444549529153,7.247882544238849,0.0,7.8,47.0,0.94,47,0,-0.604181929729135,0,,9,10009
nest56,C=inf  Discrete(56) nested,2,ppo_nest56_s2,2.3097737190343026,8.149538002142947,0.0,6.800000000000001,48.0,0.96,48,0,-0.6371459317132306,0,,0,10000
nest56,C=inf  Discrete(56) nested,2,ppo_nest56_s2,2.343656124393882,8.70508019085569,0.0,9.0,47.0,0.94,47,0,-0.6907090720973021,0,,1,10001
nest56,C=inf  Discrete(56) nested,2,ppo_nest56_s2,2.323773511741775,8.585777600554403,0.0,8.0,48.0,0.96,48,0,-0.7134708690524438,0,,2,10002
nest56,C=inf  Discrete(56) nested,2,ppo_nest56_s2,2.224963840974813,8.067241462147832,0.0,7.3999999999999995,49.0,0.98,49,0,-0.6397831445648613,0,,3,10003
nest56,C=inf  Discrete(56) nested,2,ppo_nest56_s2,2.382027213406508,7.851902511516341,0.0,7.8,49.0,0.98,49,0,-0.6445191453993524,0,,4,10004
nest56,C=inf  Discrete(56) nested,2,ppo_nest56_s2,2.4616766744715495,9.25143592459991,0.0,9.6,42.0,0.84,42,0,-0.7628695983255667,0,,5,10005
nest56,C=inf  Discrete(56) nested,2,ppo_nest56_s2,2.2885135928965346,7.839607050054032,0.0,7.8,47.0,0.94,47,0,-0.671094879961482,0,,6,10006
nest56,C=inf  Discrete(56) nested,2,ppo_nest56_s2,2.380900977250213,7.744200473824529,0.0,9.4,46.0,0.92,46,0,-0.6726904173015938,0,,7,10007
nest56,C=inf  Discrete(56) nested,2,ppo_nest56_s2,2.2858724781481317,8.261627920289122,0.0,6.4,52.0,1.04,52,0,-0.6925399189217226,0,,8,10008
nest56,C=inf  Discrete(56) nested,2,ppo_nest56_s2,2.320980265369808,7.690973274320591,0.0,8.6,49.0,0.98,49,0,-0.704807459118772,0,,9,10009
nest56,C=inf  Discrete(56) nested,3,ppo_nest56_s3,2.3414120458882053,7.574075951062567,0.0,8.799999999999999,46.0,0.92,46,0,-0.656414602654622,0,,0,10000
nest56,C=inf  Discrete(56) nested,3,ppo_nest56_s3,2.274390989221671,7.391072947006663,0.0,7.6,52.0,1.04,52,0,-0.6378710190390271,0,,1,10001
nest56,C=inf  Discrete(56) nested,3,ppo_nest56_s3,2.297695348274232,7.784562790036554,0.0,6.0,49.0,0.98,49,0,-0.6468450247012374,0,,2,10002
nest56,C=inf  Discrete(56) nested,3,ppo_nest56_s3,2.238399304756199,8.035284713262138,0.0,6.6000000000000005,48.0,0.96,48,0,-0.6087631403444113,0,,3,10003
nest56,C=inf  Discrete(56) nested,3,ppo_nest56_s3,2.362976357894664,7.462794909988114,0.0,7.199999999999999,51.0,1.02,51,0,-0.6362647076680404,0,,4,10004
nest56,C=inf  Discrete(56) nested,3,ppo_nest56_s3,2.3541646948349735,8.659326909104713,0.0,7.8,47.0,0.94,47,0,-0.6781800659970509,0,,5,10005
nest56,C=inf  Discrete(56) nested,3,ppo_nest56_s3,2.236396208644712,7.736322761219803,0.0,6.800000000000001,50.0,1.0,50,0,-0.6772007736130146,0,,6,10006
nest56,C=inf  Discrete(56) nested,3,ppo_nest56_s3,2.2834050403462154,7.704103637026934,0.0,8.4,51.0,1.02,51,0,-0.6906335530173452,0,,7,10007
nest56,C=inf  Discrete(56) nested,3,ppo_nest56_s3,2.335328643736019,7.363361478177297,0.0,7.3999999999999995,48.0,0.96,48,0,-0.6680049938776793,0,,8,10008
nest56,C=inf  Discrete(56) nested,3,ppo_nest56_s3,2.2635220085778927,7.218847290841529,0.0,7.000000000000001,52.0,1.04,52,0,-0.6665883686635434,0,,9,10009
nest56,C=inf  Discrete(56) nested,4,ppo_nest56_s4,2.2100292831461474,7.574075951062567,0.0,5.4,54.0,1.08,54,0,-0.6680699943697928,0,,0,10000
nest56,C=inf  Discrete(56) nested,4,ppo_nest56_s4,2.2126865300041216,7.92145281460439,0.0,6.6000000000000005,55.0,1.1,55,0,-0.7168102088904963,0,,1,10001
nest56,C=inf  Discrete(56) nested,4,ppo_nest56_s4,2.2836974936696106,9.021674239819625,0.0,7.8,50.0,1.0,50,0,-0.6866896490790253,0,,2,10002
